Ref,Val,Package,PosX,PosY,Rot,Side
"R17","4k7","R_0805_2012Metric",124.000000,-94.000000,-90.000000,top
"R18","10k","R_0805_2012Metric",96.500000,-59.750000,-90.000000,top
"R19","1k","R_0805_2012Metric",92.000000,-58.500000,0.000000,top
"R20","4.7k","R_0805_2012Metric",103.400000,-79.600000,0.000000,top
"R21","4.7k","R_0805_2012Metric",108.200000,-79.600000,180.000000,top
"R22","2k2","R_0805_2012Metric",146.500000,-111.500000,0.000000,top
"R24","330R","R_0805_2012Metric",113.412500,-97.500000,0.000000,top
"R25","10k","R_0805_2012Metric",124.750000,-101.000000,-90.000000,top
"R26","2k2","R_0805_2012Metric",146.500000,-115.250000,0.000000,top
"R28","330R","R_0805_2012Metric",113.500000,-105.000000,0.000000,top
"R29","10k","R_0805_2012Metric",124.750000,-108.500000,-90.000000,top
"R30","33R","R_0805_2012Metric",119.500000,-65.800000,0.000000,top
"R31","33R","R_0805_2012Metric",119.500000,-67.800000,0.000000,top
"R32","33R","R_0805_2012Metric",148.750000,-67.500000,-90.000000,top
"R33","120R","R_0805_2012Metric",144.750000,-78.000000,0.000000,top
"R34","33R","R_0805_2012Metric",146.500000,-67.500000,-90.000000,top
"R35","33R","R_0805_2012Metric",144.250000,-67.500000,-90.000000,top
"R36","10k","R_0805_2012Metric",148.500000,-43.500000,90.000000,top
"R37","10k","R_0805_2012Metric",149.000000,-52.500000,90.000000,top
"R38","150R 0.1%","R_0805_2012Metric",148.500000,-47.500000,-90.000000,top
"R39","150R 0.1%","R_0805_2012Metric",149.250000,-58.020000,-90.000000,top
"R41","1k","R_0805_2012Metric",91.500000,-64.250000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",91.500000,-124.250000,0.000000,top
"U3","TLP184","Toshiba_SOIC-4-6_4.4x3.6mm_P1.27mm",133.500000,-81.000000,180.000000,top
"U4","TLP184","Toshiba_SOIC-4-6_4.4x3.6mm_P1.27mm",133.500000,-85.270000,180.000000,top
"U5","TLP184","Toshiba_SOIC-4-6_4.4x3.6mm_P1.27mm",133.500000,-89.520000,180.000000,top
